1|11|102|ver16.04|2016-12-06
2|29|102|ver16.04.00.0|2016-12-06
3|34|5|ver0.53.00.00|2013-08-30
4|76|39|ver0.67|2016-04-25
5|24|19|ver4.42|
6|1|55|ver15.4.3502.0922|2011-07-21
7|70|87|ver55.0.2883.87|2016-12-13
8|3|34|ver6.0.450|2016-12-07
9|49|63|ver49.0.1|
10|21|83|ver3.9.141.259|
11|31|90|ver4.0.41.0|2012-11-02
12|34|74|ver4.0.12|2016-11-05
13|2|72|ver2.0.103.0|2016-10-24
14|34|90|ver5.0.286.0|2016-11-05
15|13|14|ver2.14.0|2015-06-25
16|14|17|ver1.22|
17|76|76|ver3.0|
18|50|34|ver6.0.450|2016-08-26
19|16|86|ver2.5.8.0|2016-05-01
20|73|102|ver16.02|
21|66|7|ver3.0.20.0|2016-05-03
22|12|29|ver1.4.20|2016-05-03
23|74|102|ver9.10|
24|29|70|ver5.1.41212.0|2016-01-26
25|56|81|ver2.39|2016-11-23
26|20|42|ver2.4.1|2016-12-05
27|56|48|ver1.32.4066.7445|2016-12-15
28|47|30|ver2.1.2|2016-04-24
29|36|63|ver50.0.2|
30|22|57|ver5.2.3.3|2016-11-30
31|32|30|ver2.1.2|2016-11-03
32|71|22|ver4.5.7.6282|2016-08-19
33|10|70|ver5.1.50901.0|2016-10-12
34|23|12|ver15.020.20042|2016-11-07
35|66|1|ver23.0.0.257|2016-09-14
36|13|9|ver5.24|
37|14|19|ver4.42|
38|33|88|ver2.2.4|
39|12|51||2014-08-15
40|70|19|ver4.42|
41|22|19|ver4.42|
42|54|85|ver0.7.0|2016-03-25
43|40|87|ver50.0.2661.75|2016-04-19
44|13|64|ver41.0.2353.69|
45|41|75|ver5.9.3|2016-12-05
46|74|62|ver7.30.105|2016-11-23
47|63|102|ver16.04|
48|52|89|ver3.22.2.2|
49|21|96||2013-05-25
50|14|30|ver2.1.2|2016-03-30
51|43|68|ver8.1.0.1013|2016-11-12
52|11|63|ver50.1.0|
53|17|38|ver4|2011-11-16
54|18|88|ver2.2.4|
55|47|88|ver2.2.4|
56|44|30|ver2.1.0|2015-06-24
57|59|39|ver0.67|2016-04-13
58|45|89|ver3.23.0.2|
59|29|30|ver2.0.5|2014-08-30
60|12|12|ver15.020.20042|2016-11-05
61|58|12|ver15.020.20042|2016-11-07
62|55|30|ver2.1.2|2016-04-11
63|38|68|ver8.1.1.1115|2016-11-23
64|14|36|ver1.2.4.10|2015-02-15
65|28|90|ver5.0.229.0|2016-04-24
66|62|83|ver3.9.141.259|
67|45|49|ver7.1.7.2606|2016-10-21
68|63|34|ver8.0.1120.15|2016-11-24
69|58|48|ver1.32.3889.0961|2016-11-22
70|4|7|ver3.0.20.0|2016-11-24
71|36|53|ver10.1.16|2016-05-03
72|32|59|ver451|
73|22|23|ver8.0.310.13|2015-02-05
74|54|60|ver0.91|2015-02-02
75|32|44|ver2.0.3|2016-11-04
76|38|87|ver55.0.2883.87|2016-12-15
77|8|7|ver2.2.2|2013-05-16
78|23|80|ver2.0.2|2012-11-02
79|28|1|ver23.0.0.257|2016-09-15
80|38|102|ver16.04|
81|15|48|ver1.32.4066.7445|2016-12-13
82|8|88|ver2.2.4|
83|59|87|ver55.0.2883.87|2016-12-13
84|67|78|ver3.2.2|
85|40|96||2014-08-19
86|53|34|ver8.0.770.3|2016-04-03
87|11|1|ver24.0.0.180|2016-12-14
88|52|97|ver2.8.18|2016-09-12
89|45|97|ver2.8.18|2016-09-02
90|24|80|ver2.0.2|2012-05-16
91|28|87|ver54.0.2840.99|2016-11-05
92|12|34|ver8.0.1120.15|2016-11-05
93|76|22|ver4.5.4.5306|2015-02-15
94|14|85|ver0.5.4|2013-05-16
95|31|102|ver16.04.00.0|2016-11-07
96|39|94||
97|22|17|ver1.23.1|
98|37|21|ver18.0.0.366|
99|28|85|ver0.5.7|2014-02-22
100|39|66|ver7.2.1|
101|9|21|ver24.0.0.186|
102|33|29|ver1.4.20|2016-08-21
103|33|5|ver0.53.00.00|2013-08-29
104|58|57|ver5.2.3.3|2016-11-22
105|9|67|ver12.2.5.195|
106|13|48|ver1.32.3889.0961|2016-12-06
107|51|21|ver24.0.0.186|
108|11|20|ver2.78.1|2016-11-03
109|24|46|ver24.0.0.186|
110|61|75|ver5.9.2|2016-11-05
111|39|21|ver24.0.0.186|
112|70|70|ver5.1.50901.0|2016-10-12
113|54|22|ver4.5.7.6389|2016-11-05
114|53|70|ver5.1.41212.0|2016-04-03
115|15|14|ver2.14.0|2015-02-05
116|22|42|ver2.4.1|2016-11-30
117|39|102|ver16.04|
118|44|68|ver8.1.0.1013|2016-11-12
119|61|64|ver41.0.2353.46|
120|73|81|ver2.36|2016-08-20
121|24|5|ver0.53.00.00|2013-08-27
122|45|36|ver1.2.6.7|2015-06-25
123|12|67|ver12.2.5.195|
124|71|30|ver2.1.2|2016-04-11
125|20|21|ver24.0.0.186|
126|15|70|ver5.1.50901.0|2016-10-12
127|38|7|ver3.0.20.0|2016-11-24
128|8|5|ver0.53.00.00|2013-05-16
129|62|67|ver12.2.5.195|
130|32|13|ver1.16|
131|65|102|ver16.02|
132|29|54|ver1.5.4|
133|9|78|ver3.2.2|
134|11|7|ver3.0.20.0|2016-11-04
135|49|56|ver2.0.0.372|
136|10|1|ver23.0.0.257|2016-10-10
137|71|21|ver24.0.0.186|
138|71|48|ver1.32.3889.0961|2016-11-22
139|47|1|ver23.0.0.257|2016-09-20
140|12|103|ver12.3.5|2016-08-19
141|63|103|ver12.6.0|2016-11-23
142|20|28|ver7.2.2|
143|21|63|ver50.0|
144|72|63|ver50.1.0|
145|12|60|ver0.91|2015-03-08
146|47|57|ver5.2.0.4|2016-08-19
147|32|22|ver4.5.7.6389|2016-11-04
148|49|84|ver11.0.705.1|2013-01-07
149|24|57|ver5.2.0.4|2016-08-24
150|21|67|ver12.2.5.195|
151|34|7|ver2.2.1|
152|22|102|ver16.04.00.0|2016-11-02
153|32|89|ver3.23.0.2|
154|32|90|ver5.0.286.0|2016-11-04
155|41|87|ver55.0.2883.87|2016-12-13
156|31|88|ver2.2.4|
157|52|14|ver2.14.0|2015-06-25
158|76|28|ver7.2.2|
159|38|90|ver5.0.286.0|2016-11-23
160|13|30|ver2.1.0|2015-06-25
161|67|103|ver12.3.5|2016-08-21
162|21|88|ver2.2.4|
163|54|48|ver1.32.4066.7445|2016-12-12
164|37|68|ver3.1.3.1030|
165|39|30|ver2.1.2|2016-04-25
166|73|1|ver24.0.0.180|2016-12-14
167|3|53|ver9.5.3|2016-12-15
168|22|70|ver5.1.50901.0|2016-10-12
169|54|39|ver0.67|2016-03-25
170|14|70|ver5.1.50901.0|2016-10-12
171|47|85|ver0.5.7|2014-02-22
172|32|75|ver5.9.3|2016-12-05
173|40|63|ver50.0|
174|61|12|ver15.020.20042|2016-11-05
175|46|9|ver5.22|
176|34|97|ver2.8.18|2016-08-19
177|34|78|ver3.2.2|
178|70|60|ver0.91|2016-08-26
179|60|102|ver16.04|
180|76|64|ver41.0.2353.69|
181|17|46|ver23.0.0.207|
182|12|73||
183|8|97|ver2.8.18|2016-08-22
184|20|102|ver16.02|
185|31|64|ver41.0.2353.69|
186|55|29|ver1.4.20|2016-04-25
187|38|75|ver5.9.3|2016-12-15
188|22|74|ver4.0.10|2016-08-19
189|11|21|ver24.0.0.186|
190|39|28|ver7.2.2|
191|34|87|ver54.0.2840.87|2016-11-05
192|9|74|ver4.0.9|2016-04-08
193|15|51||2014-08-15
194|63|90|ver5.0.286.0|2016-11-23
195|15|30|ver2.1.0|2015-07-24
196|29|29|ver1.4.20|2016-04-25
197|54|94||
198|23|1|ver23.0.0.257|2016-11-12
199|53|64|ver36.0.2130.46|
200|57|53|ver10.1.16|2016-05-24
201|32|21|ver23.0.0.207|
202|62|42|ver2.4.0|2016-11-06
203|21|21|ver23.0.0.207|
204|43|46|ver24.0.0.186|
205|76|17|ver1.22|
206|61|9|ver5.23|
207|13|39|ver0.67|2016-04-10
208|39|39|ver0.67|2016-04-25
209|1|21|ver23.0.0.207|
210|47|21|ver23.0.0.207|
